group,algo,seed,file,status,detail
frozen_models,bc,123,bc_seed123.d3,SEED_UNVERIFIABLE_FROM_CHECKPOINT,"no seed key in training_manifest.json (keys present: ['alpha', 'batch_size', 'bc_batch_size', 'bc_beta', 'bc_learning_rate', 'bc_n_steps', 'bc_n_steps_per_epoch', 'clip_grad_norm', 'config', 'config_sha1', 'created', 'dataset', 'dataset_sha1', 'gamma', 'learning_rate', 'n_critics', 'n_quantiles', 'n_steps', 'n_steps_per_epoch', 'norm_fingerprint', 'oversample', 'qfunc', 'script_sha1', 'split_seed', 'target_update_interval', 'variant'])"
frozen_models,bc,123,bc_seed123.d3,OK,"observed={'learning_rate': '0.001 (via learning_rate)', 'batch_size': '100 (via batch_size)', 'gamma': '0.99 (via gamma)'} full_flat_config={'batch_size': 100, 'gamma': 0.99, 'observation_scaler': None, 'action_scaler': None, 'reward_scaler': None, 'compile_graph': False, 'learning_rate': 0.001, 'beta': 0.5}"
frozen_models,bc,2024,bc_seed2024.d3,SEED_UNVERIFIABLE_FROM_CHECKPOINT,"no seed key in training_manifest.json (keys present: ['alpha', 'batch_size', 'bc_batch_size', 'bc_beta', 'bc_learning_rate', 'bc_n_steps', 'bc_n_steps_per_epoch', 'clip_grad_norm', 'config', 'config_sha1', 'created', 'dataset', 'dataset_sha1', 'gamma', 'learning_rate', 'n_critics', 'n_quantiles', 'n_steps', 'n_steps_per_epoch', 'norm_fingerprint', 'oversample', 'qfunc', 'script_sha1', 'split_seed', 'target_update_interval', 'variant'])"
frozen_models,bc,2024,bc_seed2024.d3,OK,"observed={'learning_rate': '0.001 (via learning_rate)', 'batch_size': '100 (via batch_size)', 'gamma': '0.99 (via gamma)'} full_flat_config={'batch_size': 100, 'gamma': 0.99, 'observation_scaler': None, 'action_scaler': None, 'reward_scaler': None, 'compile_graph': False, 'learning_rate': 0.001, 'beta': 0.5}"
frozen_models,bc,42,bc_seed42.d3,SEED_UNVERIFIABLE_FROM_CHECKPOINT,"no seed key in training_manifest.json (keys present: ['alpha', 'batch_size', 'bc_batch_size', 'bc_beta', 'bc_learning_rate', 'bc_n_steps', 'bc_n_steps_per_epoch', 'clip_grad_norm', 'config', 'config_sha1', 'created', 'dataset', 'dataset_sha1', 'gamma', 'learning_rate', 'n_critics', 'n_quantiles', 'n_steps', 'n_steps_per_epoch', 'norm_fingerprint', 'oversample', 'qfunc', 'script_sha1', 'split_seed', 'target_update_interval', 'variant'])"
frozen_models,bc,42,bc_seed42.d3,OK,"observed={'learning_rate': '0.001 (via learning_rate)', 'batch_size': '100 (via batch_size)', 'gamma': '0.99 (via gamma)'} full_flat_config={'batch_size': 100, 'gamma': 0.99, 'observation_scaler': None, 'action_scaler': None, 'reward_scaler': None, 'compile_graph': False, 'learning_rate': 0.001, 'beta': 0.5}"
frozen_models,bc,,reports\paper_exp\frozen_models\cql_frozen\training_manifest.json,STEPS_OK,manifest n_steps=20000
frozen_models,cql,123,cql_seed123.d3,SEED_UNVERIFIABLE_FROM_CHECKPOINT,"no seed key in training_manifest.json (keys present: ['alpha', 'batch_size', 'bc_batch_size', 'bc_beta', 'bc_learning_rate', 'bc_n_steps', 'bc_n_steps_per_epoch', 'clip_grad_norm', 'config', 'config_sha1', 'created', 'dataset', 'dataset_sha1', 'gamma', 'learning_rate', 'n_critics', 'n_quantiles', 'n_steps', 'n_steps_per_epoch', 'norm_fingerprint', 'oversample', 'qfunc', 'script_sha1', 'split_seed', 'target_update_interval', 'variant'])"
frozen_models,cql,123,cql_seed123.d3,OK,"observed={'alpha': '1.0 (via alpha)', 'learning_rate': '0.0003 (via learning_rate)', 'batch_size': '100 (via batch_size)', 'gamma': '0.99 (via gamma)', 'n_critics': '1 (via n_critics)', 'target_update_interval': '8000 (via target_update_interval)'} full_flat_config={'batch_size': 100, 'gamma': 0.99, 'observation_scaler': None, 'action_scaler': None, 'reward_scaler': None, 'compile_graph': False, 'learning_rate': 0.0003, 'n_critics': 1, 'target_update_interval': 8000, 'alpha': 1.0}"
frozen_models,cql,2024,cql_seed2024.d3,SEED_UNVERIFIABLE_FROM_CHECKPOINT,"no seed key in training_manifest.json (keys present: ['alpha', 'batch_size', 'bc_batch_size', 'bc_beta', 'bc_learning_rate', 'bc_n_steps', 'bc_n_steps_per_epoch', 'clip_grad_norm', 'config', 'config_sha1', 'created', 'dataset', 'dataset_sha1', 'gamma', 'learning_rate', 'n_critics', 'n_quantiles', 'n_steps', 'n_steps_per_epoch', 'norm_fingerprint', 'oversample', 'qfunc', 'script_sha1', 'split_seed', 'target_update_interval', 'variant'])"
